No,Address,Identity,Reputation Score,Total transactions,In Transactions
0, 0x3d24c45565834377b59fceaa6864d6c25144ad6c,Hooked Pickaxe (HPA),618.3059686,135589,135589
1, 0x55d398326f99059ff775485246999027b3197955,Binance-Peg BSC-USD,462.240446,129762,129762
2, 0x10ed43c718714eb63d5aa57b78b54704e256024e,PancakeSwap: Router v2,418.3467409,150190,150190
3, 0xb9a5bde0a19288044784b859c903ee62ff2a3a65,,337.9442247,73048,73048
4, 0x3b5bbe51e85c83a5e11fe62363c25ac5bb970451,,162.9697154,35663,35663
5, 0xffe811714ab35360b67ee195ace7c10d93f89d8c,Drip Network.,120.5956169,34387,34387
6, 0xe9e7cea3dedca5984780bafc599bd69add087d56,Binance-Peg BUSD,113.9622264,40308,40308
7, 0x96eade4c5ca5251caa7801ed38fada4807f63cbe,,82.37926617,17939,17939
8, 0xc7eddc2eb5362a791e4a78edf6f3cac0ba59f8de,Era SignIn,76.10667414,16548,16548
9, 0x2ab0e9e4ee70fff1fb9d67031e44f6410170d00e,XEN Crypto,54.19593472,14961,14961
10, 0xc715aef13800a06dc271c752ea0b8ec07959adbf,Hooked Party Pass,50.52706774,14396,14396
11, 0xda4abcdda3bd90297c26b09c2075619535805062,P12 Arcana,47.71563183,10313,10313
12, 0x425f6f6e4d1d5e43eebb551d3806715c2c082954,,30.92229809,6799,6799
13, 0x82d7e3fe486191d137632f628c76f1821e3d5cfa,,26.81417678,5920,5920
14, 0x685bfdd3c2937744c13d7de0821c83191e3027ff,Drip Network.,24.55794839,10055,10055
15, 0xa8c87a4b2de9bcebeadcc1ca4e6331fe28e3a378,,23.61048983,5170,5170
16, 0x48c686ed01138b26a8cf2e382b29cde0ea7bae9c,,21.40982329,6893,6893
17, 0x1ea3118c79f30db4a36712ac0e4e9e994da52812,,20.08263422,5477,5477
18, 0x4de2b5d4a343ddfbeef976b3ed34737440385071,,18.17066774,5815,5815
19, 0x1a1ec25dc08e98e5e93f1104b5e5cdd298707d31,Metamask: Swap Router,17.64905105,8581,8581
20, 0x768efcc0134f0d80dfaa415fc0aee7f8acd31302,,17.24243918,3727,3726
21, 0xce34a87173130ef691ff81fef1a6e8b8a9daca6f,,16.84647656,4887,4887
22, 0x260e69ab6665b9ef67b60674e265b5d21c88cb45,,16.39309901,3796,3796
23, 0x20b08ca5933d913146e39d847924077029437431,,15.84993409,3444,3444
24, 0xb82beb6ee0063abd5fc8e544c852237aa62cbb14,SQUARE,14.66060272,4210,4210
25, 0xfdb700fb2bf491bf1a611b7781a6ec593b8bb269,,13.29392393,2885,2885
26, 0x9e9bef94795bfe87a11a0369b4e0c3b60a6fcf2b,MetaBank (MBANK),11.2957072,2653,2653
27, 0x2d18f2d27d50c9b4013deba3d54f60996bd8847e,SpaceStation,10.33962092,2951,2951
28, 0x60d65a5db4e4a271361097feeb9b6e5579411df6,,10.16271976,7194,7194
29, 0x635308e731a878741bfec299e67f5fd28c7553d9,,9.757146065,3165,2113
30, 0xad76db17f7b3f641a930a3ae7ae984da9452f1f3,nuwa (nuwa),9.745807934,2990,2990
31, 0x7edc0ec89f987ecd85617b891c44fe462a325869,Gunstar Metaverse,9.548890577,2071,2071
32, 0x1111111254fb6c44bac0bed2854e76f90643097d,1inch v4: Router,9.49563456,4455,4455
33, 0x32a725a0282e69836957bcec6d1b05bdb047d1ee,,9.46100602,2349,2349
34, 0xab3c8c5faa5a6beee4e8702e812c62f979faefa3,,9.41524564,2802,2802
35, 0x0995cab04e752fa2b2f77082f6a99c1a7cfdc4b9,,9.252883426,1999,1999
36, 0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,Binance-Peg USD,9.02245822,3479,3479
37, 0x1514c766127378ea9653f9f4428fe25f3fd256c3,,8.765324761,4493,4493
38, 0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,PancakeSwap,8.555949843,4306,4306
39, 0xb4ffabb63c4caf1b3af4e6787f79bb939a031330,,8.555301,2089,2089
40, 0x25535747c836698ca27c725e3687187e21631216,HOPOPool,8.323733603,1870,1870
41, 0xfe0e9092c2f14dfebd04b40bedf8d84660c193f3,Pizza Tower,8.13233713,2574,2574
42, 0x4db77c2272047f42262153f43cc1adacd5375962,Dracoo Master (Dracoo),8.058536596,1745,1745
43, 0xc9882def23bc42d53895b8361d0b1edc7570bc6a,FistToken (FIST),7.794162051,5128,5128
44, 0x9239df3e9996c776d539eb9f01a8ae8e7957b3c3,,7.788671269,1789,1688
45, 0x17932655690e19fa85fdd3f051d795098e69773d,New Free Dao,7.729008168,1902,1902
46, 0x4d1e90ab966ae26c778b2f9f365aa40abb13f53c,STA TOKEN,7.446737214,1822,1822
47, 0xba2ae424d960c26247dd6c32edc70b295c744c43,Binance-Peg Dogecoin,7.408512455,2913,2913
48, 0xce93f9827813761665ce348e33768cb1875a9704,DefiLlama,7.082688556,2353,2353
49, 0xeae786573b262a293880f97ff9c2acd7f978a8b9,,7.048430679,1632,1632
50, 0x04fa9eb295266d9d4650edcb879da204887dc3da,OSK (OSK),6.941298087,5120,5120
51, 0x918f5be29759552b2bec5f9a1eb049c3060eb108,,6.77551973,1878,1878
52, 0x2170ed0880ac9a755fd29b2688956bd959f933f8,Binance-Peg Ethereum,6.732724212,2628,2628
53, 0xb3ca4d73b1e0ea2c53b42173388cc01e1c226f40,,6.646966812,4431,4431
54, 0x4fe59adcf621489ced2d674978132a54d432653a,DRIP Liquidity,6.622716145,4398,4398
55, 0x5d491a1f461cbff1efc83ab0dc160dd601daa5f0,IVOV3,6.605565323,1655,1655
56, 0x1cabcd4b66d86d703866050f6430ea86b66188bb,SHUMI (SHUMI),6.570105113,3790,3790
57, 0x3b6e760ca5b5c9fc492f1533b6a4728fa4e59e2d,,5.952044962,2639,1638
58, 0x3f88d9a9e58022595418b9ea1afad704aecccc52,,5.776246978,2496,2495
59, 0x8888820168652a4db87224375658f9025f6398dc,SportsDAO-Roam,5.752344621,1294,1294
60, 0x7e4d17cf2e310320c6a8edeefa13bf5fd6138055,,5.73573936,1805,1805
61, 0x6f5ac65ca70f2a44d73c8f711cb2bdf425d9f304,,5.530503393,2821,2821
62, 0x7e88665f2be01670c375d43bc6513baf653c0ab0,,5.496004169,2125,2125
63, 0x12a055d95855b4ec2cd70c1a5eadb1ed43eaef65,Fonvity Token (FON),5.478650497,4228,4228
64, 0x5fe760507440f2d33baf2dbf6d20260eb2cb8110,,5.441224947,1275,1275
65, 0x5acc84a3e955bdd76467d3348077d003f00ffb97,Forsage.io,5.405044468,2394,2394
66, 0xfa500178de024bf43cfa69b7e636a28ab68f2741,,5.325957405,6850,1207
67, 0x2723522702093601e6360cae665518c4f63e9da6,Link3 (LINK3),5.132370224,1297,1297
68, 0x2859e4544c4bb03966803b044a93563bd2d0dd4d,Binance-Peg SHIBA INU,5.04554766,1542,1542
69, 0x383094a91ef2767eed2b063ea40465670bf1c83f,LIMOCOIN SWAP,5.028001821,1116,1116
70, 0x6a4746e7ca0f518e3cb09c0d7acfbfdd409c1f99,,4.960901215,1405,1405
71, 0xae7b66fe4a6bfd79f838d8be5772dac18a946cf6,,4.958632144,1097,1097
72, 0xe2e912f0b1b5961be7cb0d6dbb4a920ace06cd99,ApolloX,4.876494627,1320,1320
73, 0xc182904fd54cd0717d78f63a4cbf69141f5b743f,,4.697300134,1585,1585
74, 0x45c54210128a065de780c4b0df3d16664f7f859e,CAKE Syrup Pool,4.51566207,1697,1697
75, 0x53e0e51b5ed9202110d7ecd637a4581db8b9879f,STEPN Router,4.509275598,1492,1492
76, 0xcc079ca45b62c5bc0064e0b40a2dd3d409503119,NEUTRON (NTN),4.491419607,1842,1842
77, 0xd3998d55eb021543ba1f9be1a716c2e994313315,Pancake LPs (Cake-LP),4.477277016,1302,1302
78, 0x370c5369d163ff5e9c71d686173c4f6acd7fb3e3,,4.263659167,1138,1138
79, 0xa14107983a510132dd104ad352f0827337f667d6,,4.221631773,1005,1005
80, 0x9f109a85ec8f181f7a0471833050d63489c93a47,Domestic ($DMC),4.14416774,1134,1134
81, 0xbd6e5d331a09fb39d28cb76510ae9b7d7781ae68,,4.086050816,1776,1776
82, 0x78f5d389f5cdccfc41594abab4b0ed02f31398b3,ApolloX Token (APX),3.949708494,1027,1027
83, 0x0c9fda4b9ca01379a4c2bf8c423f07622c08b781,,3.934994408,2064,1019
84, 0x41772edd47d9ddf9ef848cdb34fe76143908c7ad,FTX Exchange,3.849023026,3083,1093
85, 0x0000000000008afdacc486225455281f614843e7,Salon Cindy,3.786182957,990,990
86, 0x010c37e5b56aeb6cac4e6a9528a11c9165658024,,3.736990363,808,808
87, 0x8ac0d0058d26b04bc1308eff6d4ae678d6f1e5d4,,3.646336521,1499,1499
88, 0x2adc3468fc4149932dd16d0244b7228aa8eead5c,DIAOS (DIAOS),3.641734432,1632,1632
89, 0x395dacfab62792362c93fec8426ada570f954e3f,,3.632745243,1054,1054
90, 0x18b2a687610328590bc8f2e5fedde3b582a49cda,PancakeSwap: Prediction V2,3.610675598,1200,1200
91, 0xdb88157fea75a78a2516e6b9f06ed705dca97b8f,,3.557645578,1009,1009
92, 0xa9ea52d60111073e34fad966c03f70684e5b205d,,3.512325505,1680,1680
93, 0x9d379e2d4bdcd59503390a57078c1bf821d5742a,Summoners Arena Heroes (Hero),3.490680424,766,766
94, 0x82a415261584a12089b5a4ec73ac58276f7509c0,,3.448465777,2457,2457
95, 0x3f32d3eaabdcb3a9fe8101e58cf40621b7d43e15,,3.432659379,954,954
96, 0x1ccfc4e4b9c05b99cfe43dac0dc84bf48b99e745,,3.416081938,1995,742
97, 0x270eb2621eb213a0600a03151af8f9be520e56d4,,3.413768806,942,942
98, 0xfbaebcb3c22ba9acb3a64eb0be82c9a46c56deea,,3.387167796,934,934
99, 0x76e4efb2c78b08c3fde3edf98c6503dd9df9c5e8,AntDao (ANT),3.374604613,890,890
